Row_Number,Time,Main_Engine_Fuel_Consumption_MT_day,Main_Engine_Using_HFO_bool,Main_Engine_Using_MGO_bool,Draft_Forward_meters,Draft_Aft_meters,Draft_Mid_1_meters,Draft_Mid_2_meters,Speed_Over_Ground_knots,Speed_Through_Water_knots,Heading_degrees,Rudder_Angle_degrees,Weather_Service_Apparent_Wind_Speed_knots,Weather_Service_Apparent_Wind_Direction_degrees_from_bow,Weather_Service_True_Wind_Speed_knots,Weather_Service_True_Wind_Direction_degrees_from_north,Weather_Service_Temperature_celsius,Water_Depth_meters,id
43,2017-07-08T04:00:00,35.139247013749944,0.0,0.0,0.0,0.0,0.0,11.347842609827573,16.008014249474233,15.5821068378997,78.22132151329117,359.0021106440704,3.6713474290574157,54.39215951346803,14.18796522233171,270.36602123244546,24.959969219870572,0.0,10
44,2017-07-08T05:00:00,34.97576987757894,0.0,0.0,0.0,0.0,0.0,11.340098352915708,15.818252752924142,15.469093599654661,77.99451633929517,358.98238179679885,2.509617686370407,63.04852985839834,14.850266489108217,266.65855634135875,24.795202303283702,0.0,10
45,2017-07-08T06:00:00,34.89766793497816,0.0,0.0,0.0,0.0,0.0,11.3391727925045,15.58992207487515,15.285057327959818,76.98186418300536,359.14533106037146,2.1554755321064576,65.2328793807691,14.816763477956421,264.57249744040183,24.985285521240257,0.0,10
46,2017-07-08T07:00:00,37.11528767929142,0.0,0.0,0.0,0.0,0.0,11.339715125609558,15.724581071287776,15.412896596321866,77.36037295727087,359.08680505071726,2.7799690791251512,64.16334478095143,14.727154363120395,267.14214197049995,25.051274630411797,0.0,10
47,2017-07-08T08:00:00,37.62644491089282,0.0,0.0,0.0,0.0,0.0,11.345546057272783,16.010614848881822,15.510621654567608,78.83631243614205,359.0821446207851,9.127238021813532,54.41728049395222,13.022424825007045,293.5875243199044,25.01726325168869,0.0,10
48,2017-07-08T09:00:00,37.67344396614466,0.0,0.0,0.0,0.0,0.0,11.346944919075883,15.6788442162691,15.484540393108217,77.6235076256411,359.1860319790736,9.433867862535076,53.25339096050465,12.563403111426844,294.6144395184843,25.035808375773115,0.0,10
49,2017-07-08T10:00:00,40.1916063115938,0.0,0.0,0.0,0.0,0.0,11.345839642178198,15.880377541307608,15.666401330400749,75.14430221312304,358.8250229921856,10.534744900738335,48.73035202813827,11.936059431549097,296.7019204309812,24.849295808382692,0.0,10
50,2017-07-08T11:00:00,40.707382143205415,0.0,0.0,0.0,0.0,0.0,11.35772561312696,16.07148948467811,15.87854249417331,80.02914441401016,358.4919466165214,10.101028483485969,44.603826079605334,11.364866481296762,298.6461762884894,24.47776129111088,0.0,10
51,2017-07-08T12:00:00,40.64353049759995,0.0,0.0,0.0,0.0,0.0,11.365194338345075,16.290734849680252,16.077659296741118,79.38277250520828,358.35758015725753,8.704690201115845,37.34354978464374,10.755689868321701,288.78396083667246,24.275773474039738,0.0,10
52,2017-07-08T13:00:00,40.71306689523593,0.0,0.0,0.0,0.0,0.0,11.35643632834315,16.12437414272974,16.026423785712343,79.01465780153596,358.172108708202,8.513379321502562,18.693298815836076,8.509415192882368,277.7169879048878,24.230367487925207,0.0,10
53,2017-07-08T14:00:00,40.68942232036876,0.0,0.0,0.0,0.0,0.0,11.354618657273766,16.190152142649396,15.982799719153832,79.00843627259688,358.08891666783325,13.884674632280346,5.4515165957034215,2.7108571096475136,288.1255111946121,24.350047669576043,0.0,10
54,2017-07-08T15:00:00,41.11744507585928,0.0,0.0,0.0,0.0,0.0,11.34454430934275,15.742978726737118,15.687936847151875,79.44675218896066,357.7135700293725,15.539543948931206,-5.532797842185579,1.523432275330388,179.8781919829071,24.414410264383946,0.0,10
55,2017-07-08T16:00:00,41.00371000405518,0.0,0.0,0.0,0.0,0.0,11.311786242202484,15.591546152903767,15.614491926655667,82.30538319409425,357.58287956931196,18.706188291715222,-9.071948544467096,4.122818798148457,127.98190177266532,24.54176036987309,0.0,10
56,2017-07-08T17:00:00,41.02789274648894,0.0,0.0,0.0,0.0,0.0,11.310017747407585,15.487699955667308,15.630524901022927,84.01014051476758,357.64325973264954,21.74614129788724,-6.637042825320508,6.6092629613734655,106.36149238430019,24.720767118225126,0.0,10
57,2017-07-08T18:00:00,41.66160044316178,0.0,0.0,0.0,0.0,0.0,11.306809381989677,15.999561781899533,15.660815616578407,86.52025673902367,357.44405611905336,25.55376418704906,-4.393062168315605,9.679109057212331,98.18746056240332,24.52647651487564,0.0,10
58,2017-07-08T19:00:00,41.860502144136326,0.0,0.0,0.0,0.0,0.0,11.305070198252558,16.032671292278636,15.798355309358632,88.94684919143931,357.3128841483426,27.757452192949955,-3.461317331021742,11.79381752320812,97.11596100121412,24.281888366292378,0.0,10
59,2017-07-08T20:00:00,42.00113798258795,0.0,0.0,0.0,0.0,0.0,11.311840308696608,16.153945751498153,15.830469521698781,90.90170645235003,357.62065237835856,26.13723128730277,-11.240451579520792,10.764023528442932,119.15185542525907,24.308833032959,0.0,10
60,2017-07-08T21:00:00,42.160671586836855,0.0,0.0,0.0,0.0,0.0,11.303014290238702,16.35810009865286,15.796167151646223,90.43512459127155,356.97025852659135,26.532860592278215,-13.421953733992245,11.279845408025809,123.52832379942001,24.61272412426763,0.0,10
61,2017-07-08T22:00:00,41.8451561632854,0.0,0.0,0.0,0.0,0.0,11.310584634487766,16.219653874375478,15.941643632337252,90.1401229017608,357.1774842470993,26.273827383002327,-15.851485079683354,11.554092393585023,128.5386024927995,24.79961046427411,0.0,10
62,2017-07-08T23:00:00,41.98068403286467,0.0,0.0,0.0,0.0,0.0,11.31005043267984,16.004911209026677,15.835256474650892,90.61117225580051,357.0624128916247,25.680399166731608,-17.931712393282854,11.55619482487127,133.78264978187997,24.864650411377,0.0,10
63,2017-07-09T00:00:00,42.11514931944246,0.0,0.0,0.0,0.0,0.0,11.309238327683182,16.152565639100114,15.79005981807521,110.7060296392664,357.4504699171327,26.332542074225334,-11.4726354326587,10.98310483225843,139.187363800638,25.053514167141543,0.0,10
64,2017-07-09T01:00:00,41.964135976760296,0.0,0.0,0.0,0.0,0.0,11.313252863839416,16.086952789975193,15.751217180178891,114.80041343159488,357.81441917044975,25.44596855731583,-12.168956522706173,10.295002464799438,146.2010156172013,25.127551177558075,0.0,10
65,2017-07-09T02:00:00,41.723084762416306,0.0,0.0,0.0,0.0,0.0,11.309942612560599,15.811558466537859,15.844895093219627,113.40775315740721,357.4762117019257,23.37354031174539,-20.28188375485444,10.149460865922894,166.37458561422017,25.11105588833226,0.0,10
